country_id,county,city,state,postal_code
1,Ada,Boise,ID,83706
2,Adams,Washtucna,WA,99371
3,Adams,Ritzville,WA,99169
4,Adams,Lind,WA,99341
5,Adams,Hatton,WA,99344
6,Alameda,Alameda,CA,94501
7,Alameda,Fremont,CA,94538
8,Alameda,Dublin,CA,94568
9,Alameda,Berkeley,CA,94707
10,Alexandria,Alexandria,VA,22314
11,Allegheny,Pittsburgh,PA,15222
12,Allen,Fort Wayne,IN,46802
13,Anchorage,Eagle River,AK,99577
14,Anne Arundel,Gambrills,MD,21054
15,Anne Arundel,Annapolis,MD,21401
16,Anne Arundel,Edgewater,MD,21037
17,Anne Arundel,Hanover,MD,21076
18,Anne Arundel,Odenton,MD,21113
19,Anne Arundel,Fort George G Meade,MD,20755
20,Arapahoe,Englewood,CO,80111
